time,x,z
6.94,1804.31,10670.8
6.95,1806.91,10670.8
6.96,1809.51,10670.8
6.97,1812.11,10670.8
6.98,1814.71,10670.8
6.99,1817.31,10670.8
7,1819.91,10670.8
7.01,1822.51,10670.8
7.02,1825.11,10670.8
7.03,1827.71,10670.8
7.04,1830.31,10670.8
7.05,1832.91,10670.8
7.06,1835.51,10670.8
7.07,1838.11,10670.8
7.08,1840.71,10670.8
7.09,1843.31,10670.8
7.1,1845.91,10670.8
7.11,1848.51,10670.8
7.12,1851.11,10670.8
7.13,1853.71,10670.8
7.14,1856.31,10670.8
7.15,1858.91,10670.8
7.16,1861.51,10670.8
7.17,1864.1,10670.8
7.18,1866.7,10670.8
7.19,1869.3,10670.8
7.2,1871.9,10670.8
7.21,1874.5,10670.8
7.22,1877.1,10670.8
7.23,1879.7,10670.8
7.24,1882.3,10670.8
7.25,1884.9,10670.8
7.26,1887.5,10670.8
7.27,1890.1,10670.8
7.28,1892.7,10670.8
7.29,1895.3,10670.8
7.3,1897.9,10670.8
7.31,1900.5,10670.8
7.32,1903.1,10670.8
7.33,1905.7,10670.9
7.34,1908.3,10670.9
7.35,1910.9,10670.9
7.36,1913.5,10670.9
7.37,1916.1,10670.9
7.38,1918.7,10670.9
7.39,1921.3,10670.9
7.4,1923.9,10670.9
7.41,1926.5,10670.9
7.42,1929.1,10670.9
7.43,1931.69,10670.9
7.44,1934.29,10670.9
7.45,1936.89,10670.9
7.46,1939.49,10670.9
7.47,1942.09,10670.9
7.48,1944.69,10670.9
7.49,1947.29,10670.9
7.5,1949.89,10670.9
7.51,1952.49,10670.9
7.52,1955.09,10670.9
7.53,1957.69,10670.9
7.54,1960.29,10670.9
7.55,1962.89,10670.9
7.56,1965.49,10670.9
7.57,1968.09,10670.9
7.58,1970.69,10670.9
7.59,1973.29,10670.9
7.6,1975.89,10670.9
7.61,1978.49,10670.9
7.62,1981.09,10670.9
7.63,1983.69,10670.9
7.64,1986.29,10670.9
7.65,1988.89,10670.9
7.66,1991.49,10670.9
7.67,1994.09,10670.9
7.68,1996.68,10670.9
7.69,1999.28,10670.9
7.7,2001.88,10670.9
7.71,2004.48,10670.9
7.72,2007.08,10670.9
7.73,2009.68,10670.9
7.74,2012.28,10670.9
7.75,2014.88,10670.9
7.76,2017.48,10671
7.77,2020.08,10671
7.78,2022.68,10671
7.79,2025.28,10671
7.8,2027.88,10671
7.81,2030.48,10671
7.82,2033.08,10671
7.83,2035.68,10671
7.84,2038.28,10671
7.85,2040.88,10671
7.86,2043.48,10671
7.87,2046.08,10671
7.88,2048.68,10671
7.89,2051.28,10671
7.9,2053.88,10671
7.91,2056.47,10671
7.92,2059.07,10671
7.93,2061.67,10671
7.94,2064.27,10671
7.95,2066.87,10671
7.96,2069.47,10671
7.97,2072.07,10671
7.98,2074.67,10671
7.99,2077.27,10671
8,2079.87,10671
8.01,2082.47,10671
8.02,2085.07,10671
8.03,2087.67,10671
8.04,2090.27,10671
8.05,2092.87,10671
