# fitness=158.751
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
1,0,7,1,2,0.603346,-0.156971
1,0,7,2,3,0.34842,-0.158148
0,0,7,1,2,0.155255,0.167421
0,0,7,2,2,0.711849,-0.133212
0,0,7,3,3,0.315713,0.455254
0,0,7,4,3,0.950913,-0.537199
0,1,7,4,3,0.467876,-0.565639
0,1,7,3,3,0.684859,-0.528831
0,2,7,4,3,0.0472426,-0.824419
0,2,7,5,3,0.488323,0.131424
0,2,7,5,4,0.309233,0.964815
0,3,7,5,4,0.439748,-0.496767
0,4,7,5,4,0.29174,-0.057066
0,4,7,6,4,0.754599,-0.593812
0,5,7,6,4,0.341819,0.970404
0,5,7,5,4,0.790859,0.360999
0,6,7,5,5,0.870012,-0.888929
0,7,7,5,5,0.183188,0.351836
0,7,7,4,5,0.712143,-0.885784
0,6,7,4,5,0.153603,-0.0208481
0,5,7,4,4,0.651714,0.19377
0,6,7,6,5,0.135587,-0.0715102
0,7,7,6,5,0.68912,0.829201
0,8,7,6,5,0.530917,-0.988981
0,8,7,7,5,0.695738,-0.565914
0,9,7,7,5,0.901101,-0.467925
0,9,7,7,6,0.92914,-0.218583
0,9,7,6,6,0.539001,0.361653
0,9,7,5,6,0.718558,-0.550384
1,9,7,6,6,0.72051,0.488936
1,9,7,5,6,0.20366,-0.221215
1,9,7,4,6,0.283139,0.395178
1,9,7,4,5,0.049998,-0.120058
1,8,7,4,5,0.695407,-0.457867
1,8,7,6,5,0.967131,0.853146
1,4,3,9,4,0.159709,-0.324276
1,4,3,8,4,0.580456,-0.201068
1,4,3,7,4,0.174159,-0.279509
1,4,3,6,4,0.2342,0.367411
1,4,3,5,4,0.160797,-0.813185
1,5,3,5,4,0.214909,-0.25321
1,5,3,4,4,0.537496,-0.0905635
1,4,3,3,4,0.804017,-0.207672
1,4,3,2,4,0.785996,0.86124
1,3,3,2,4,0.504396,-0.635095
1,3,3,2,3,0.00131116,0.409571
1,3,3,6,3,0.424989,-0.693518
1,3,3,6,4,0.811128,0.834167
1,5,3,6,4,0.308254,0.826999
1,6,3,6,5,0.927175,0.809605
1,6,3,5,5,0.117233,0.29389
1,7,3,6,5,0.654948,-0.861436
1,7,3,5,5,0.0869392,-0.237498
5,0,7,1,1,0.102,0.77373
5,0,7,2,1,0.782316,0.156634
4,0,7,3,2,0.951058,0.632859
4,0,7,3,3,0.431568,0.0267474
4,0,7,2,3,0.097704,0.36744
4,0,7,1,3,0.631111,0.312287
4,1,7,3,3,0.899127,-0.695765
4,1,7,2,3,0.435721,-0.368311
3,0,7,4,3,0.242226,-0.174867
