# fitness=162.568
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
2,4,4,9,4,0.617945,0.365404
2,4,4,4,4,0.148291,0.774271
2,4,4,3,4,0.621261,-0.913433
2,3,4,4,4,0.0686126,0.93422
2,3,4,5,4,0.0248824,-0.0434134
2,4,4,5,4,0.44693,-0.958907
2,4,4,6,4,0.516549,0.990162
2,9,4,9,6,0.726287,0.110381
2,9,4,9,7,0.0254929,0.455195
2,6,7,7,5,0.377779,0.152944
2,0,5,2,1,0.277414,-0.125836
2,0,5,3,1,0.34732,-0.415771
2,0,4,2,1,0.0953723,-0.287805
2,0,4,1,1,0.144094,0.500075
2,0,4,0,1,0.180214,-0.997178
2,0,5,0,1,0.159271,0.92837
2,0,5,1,1,0.47791,0.00645955
2,1,6,3,2,0.458182,-0.974933
1,2,6,3,3,0.713465,0.592738
1,2,6,4,3,0.189659,-0.824061
1,3,6,4,3,0.749175,-0.433957
1,3,6,6,4,0.349902,-0.211201
1,8,6,7,6,0.392679,0.505328
1,9,5,8,6,0.0845161,0.0986196
1,9,5,8,7,0.055976,0.274709
1,9,5,9,7,0.994435,-0.58124
3,0,5,0,2,0.404585,-0.0165563
3,1,5,1,2,0.0340797,0.61693
2,9,5,9,7,0.356234,-0.517617
2,0,5,0,2,0.916595,-0.65458
2,0,5,3,2,0.200103,0.913253
2,2,6,1,3,0.507534,-0.555689
2,2,5,5,3,0.388291,0.578572
2,3,5,5,3,0.00263226,0.0401536
2,3,5,4,3,0.266811,0.579298
2,4,5,4,4,0.00761866,0.554762
2,4,5,5,4,0.171377,-0.780872
2,4,5,3,4,0.372577,0.497173
2,3,5,4,4,0.227793,0.355718
1,5,6,4,4,0.312632,-0.965204
1,4,4,9,4,0.364919,0.0559743
1,4,4,8,4,0.0741528,-0.613466
1,4,4,7,4,0.0899864,0.757239
1,5,4,7,4,0.976732,0.930156
1,5,4,6,4,0.544471,0.463407
1,5,4,5,4,0.332115,-0.634359
1,5,4,4,4,0.55257,0.144307
1,4,4,4,4,0.82414,0.435287
1,4,4,3,4,0.118906,0.0273109
1,4,4,5,4,0.357596,0.8928
1,4,4,6,4,0.66341,-0.656109
1,6,4,6,5,0.898818,0.552924
1,7,4,6,5,0.404647,-0.797186
1,7,4,5,5,0.630475,0.708159
1,7,4,7,5,0.465157,0.0905919
1,8,4,7,5,0.237493,0.798119
1,8,4,7,6,0.549301,-0.611038
1,8,4,6,6,0.983658,0.157645
3,1,6,5,2,0.21574,0.554211
3,1,5,6,3,0.784283,0.509302
3,3,5,5,3,0.244228,-0.0111719
3,3,5,3,4,0.717368,0.0770184
3,3,5,4,3,0.568495,0.778044
3,3,5,3,3,0.354219,0.264484
2,7,4,6,5,0.716594,-0.0119927
2,1,6,2,2,0.24155,0.435303
1,8,4,6,5,0.179257,-0.827063
2,2,7,3,4,0.0912038,0.855521
2,3,4,3,4,0.538365,-0.610425
2,3,4,3,3,0.30758,-0.115473
2,3,4,4,3,0.108673,-0.150519
2,3,5,5,4,0.0870688,0.328716
2,3,5,3,4,0.572619,-0.689506
2,3,5,3,3,0.312432,0.165765
2,3,5,2,3,0.201774,-0.0334199
2,2,5,2,3,0.661398,0.952193
2,2,5,3,3,0.053762,0.694877
2,2,5,4,3,0.907535,-0.859481
1,3,5,3,3,0.958796,0.137311
1,2,5,3,3,0.465073,-0.171099
1,2,5,2,3,0.934107,-0.922005
5,0,7,1,2,0.410378,0.708603
4,0,7,4,2,0.755799,-0.15892
3,0,7,4,3,0.580031,-0.189936
3,6,7,5,5,0.118447,-0.604378
3,4,6,8,4,0.995553,0.032444
3,4,5,8,4,0.6167,0.762077
3,6,5,4,5,0.158585,-0.36384
3,5,5,4,4,0.896536,0.166628
3,9,5,9,6,0.444892,-0.406193
3,1,6,2,2,0.341832,0.743461
3,7,5,8,5,0.202924,-0.50408
3,8,5,8,5,0.943562,-0.390441
3,8,5,8,6,0.154721,0.0332822
3,9,5,7,7,0.582372,0.593798
3,8,6,8,6,0.883601,-0.384465
3,0,7,0,3,0.579917,-0.261224
3,0,7,5,3,0.254238,-0.343696
3,3,7,6,4,0.356128,0.606281
3,2,7,2,4,0.470056,0.922994
3,2,7,2,3,0.992907,-0.172152
3,0,7,1,0,0.504862,-0.760326
2,0,7,1,0,0.772704,0.950945
2,1,7,6,3,0.258142,0.78292
2,9,7,8,5,0.502521,0.432247
2,9,7,9,6,0.850502,0.330816
2,8,6,8,5,0.336966,0.407932
1,6,6,5,5,0.587307,0.386674
2,4,3,9,4,0.285015,-0.774889
2,4,3,8,4,0.314834,0.823893
2,4,3,7,4,0.752949,0.826104
2,4,3,6,4,0.142849,-0.00874695
2,5,3,6,4,0.01347,-0.0690065
2,6,3,6,5,0.861645,-0.728884
2,6,3,7,5,0.0229295,0.768974
2,7,3,7,5,0.907489,-0.428816
