# fitness=158.727
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
2,9,4,7,6,0.765693,-0.905292
2,9,4,8,6,0.315128,-0.649446
2,9,4,8,7,0.634787,-0.815418
3,0,5,0,2,0.460039,0.24024
3,0,6,2,0,0.959761,0.529337
3,0,6,3,0,0.0461848,0.991266
3,0,5,3,0,0.854231,-0.184944
3,0,5,2,0,0.314954,-0.630023
2,0,5,1,2,0.0106666,-0.777675
2,0,5,2,2,0.735332,-0.127915
2,1,6,4,2,0.667007,-0.495485
2,2,5,5,3,0.216506,0.908803
2,2,5,4,3,0.798803,-0.0466268
2,3,5,4,3,0.463357,-0.623241
2,3,5,5,3,0.391347,-0.206219
2,3,5,5,4,0.285275,0.915096
2,9,5,6,6,0.576775,0.510584
3,7,5,5,5,0.976961,0.612407
4,0,6,0,1,0.14249,0.330092
4,0,6,1,1,0.00922542,0.171866
3,4,7,3,4,0.509872,-0.221363
3,8,7,4,5,0.696248,-0.571271
3,9,7,5,5,0.833954,0.507963
2,3,7,2,4,0.186126,0.177876
2,7,6,4,5,0.964229,-0.734553
2,4,7,4,4,0.427853,0.0502959
3,3,6,7,3,0.00506368,0.355351
3,1,5,6,3,0.997019,-0.477866
3,1,5,6,2,0.302036,-0.69723
3,1,5,5,2,0.2293,-0.280125
1,3,7,4,4,0.372424,0.0884279
3,8,7,3,5,0.396095,0.0516841
3,7,7,3,5,0.497755,0.625077
3,6,7,3,5,0.935419,-0.977339
3,6,7,4,5,0.180277,-0.130109
3,5,7,4,4,0.394963,-0.214577
2,6,7,5,5,0.179762,0.927671
2,6,7,4,5,0.94588,-0.459868
2,6,7,3,5,0.371356,-0.395078
2,5,7,3,4,0.188574,-0.781302
2,4,7,3,4,0.95056,-0.430812
5,0,7,1,0,0.3612,-0.148189
3,5,7,3,4,0.761561,0.385102
3,9,7,5,6,0.242755,-0.545924
3,9,7,4,6,0.148258,-0.067386
3,9,7,4,5,0.962677,-0.250883
3,0,4,1,0,0.0907303,-0.0337788
3,3,7,7,4,0.650447,-0.960799
3,4,7,7,4,0.264348,0.735803
2,0,5,3,2,0.0956669,-0.692659
2,0,5,4,2,0.111017,-0.54837
2,1,5,4,2,0.110817,0.457544
2,1,5,4,3,0.360184,0.00110945
2,2,5,3,3,0.88211,-0.282333
2,3,5,3,3,0.729414,-0.621535
2,3,5,4,4,0.366775,-0.417616
2,3,5,3,4,0.443515,-0.684229
2,3,5,2,3,0.33278,-0.175201
